model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
mnist_gan_cnn_two_conv_nobias_biprop,300000,0.9829,0.9491,0.9566,1.0,1.0,50000,0.9786,0.9691,0.3034,1.0,1.0,470000,0.9816,0.9496,0.9722,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
mnist_gan_cnn_two_conv_nobias_halfbiprop,395000,0.9849,0.9768,0.9592,1.0,1.0,425000,0.9828,0.9778,0.9591,1.0,1.0,465000,0.9833,0.9766,0.9658,1.0,1.0,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473,0,0.1231,0.0987,0.061,0.5762891186247734,0.23044811588217473
mnist_gan_nn_one_hidden_backprop,25000,0.9792,0.927,0.0131,1.0,1.0,15000,0.9777,0.9425,0.0125,1.0,0.9999949,0,0.0879,0.0888,0.1173,1.1596136837116584,1.5648375903008256,410000,0.9773,0.9329,0.067,nan,1.0,5000,0.9639,0.9329,0.0193,0.99999964,0.9987449498744949
mnist_gan_nn_one_hidden_biprop,155000,0.9652,0.7719,0.0682,0.98896,0.7518201,185000,0.9637,0.8485,0.1268,0.8123454,0.31030607,15000,0.8909,0.6431,0.2253,1.0,0.9999981,180000,0.9555,0.7858,0.1026,0.71298087,0.21538566,180000,0.9555,0.7858,0.1026,0.71298087,0.21538566
mnist_gan_nn_one_hidden_halfbiprop,365000,0.9786,0.8736,0.1414,1.0,0.9870646,390000,0.9784,0.8762,0.1583,1.0,0.99227554,500000,0.9781,0.8556,0.2475,6.431356470825948e+16,1.0,470000,0.9782,0.8552,0.2383,0.6313871172420679,0.99999976,180000,0.9555,0.7858,0.1026,0.71298087,0.21538566
mnist_gan_nn_one_hidden_nobias_backprop,345000,0.9799,0.9333,0.0524,0.0,1.0,10000,0.974,0.9435,0.0149,1.0,0.9992902,0,0.0879,0.0888,0.1173,1.1596136837116584,1.5648375903008256,405000,0.9779,0.9335,0.0736,nan,1.0,5000,0.964,0.9345,0.0189,0.9999995,0.9968641996864199
mnist_gan_nn_one_hidden_nobias_biprop,490000,0.9503,0.4872,0.5338,1.0,1.0,10000,0.8795,0.7327,0.357,1.0,1.0,215000,0.9477,0.5442,0.6906,1.0,1.0,5000,0.8177,0.6402,0.2563,0.5,0.1,5000,0.8177,0.6402,0.2563,0.5,0.1
mnist_gan_nn_one_hidden_nobias_halfbiprop,475000,0.9621,0.5618,0.6973,1.0,1.0,10000,0.8795,0.7327,0.357,1.0,1.0,470000,0.9617,0.5705,0.7159,1.0,1.0,5000,0.8177,0.6402,0.2563,0.5,0.1,5000,0.8177,0.6402,0.2563,0.5,0.1
mnist_nn_four_hidden_backprop,25000,0.9803,0.938,0.0981,0.9998775981884532,0.9999539794735252,20500,0.9789,0.9493,0.0883,0.9998834065674894,0.9999776994870881,49500,0.9784,0.9386,0.1356,0.9999767297230837,0.9999974999925,500,0.9366,0.8645,0.0235,0.9933607716623458,0.9837471298173334,500,0.9366,0.8645,0.0235,0.9933607716623458,0.9837471298173334
mnist_nn_four_hidden_biprop,9500,0.9458,0.8653,0.3329,0.9975855878722706,0.9896234123279232,13000,0.9354,0.8803,0.3319,0.9981928670122713,0.983491637008963,20500,0.9342,0.8482,0.3355,0.9990086960436377,0.9830389807079298,500,0.8595,0.6872,0.1485,0.9838865192348184,0.920757664197671,35500,0.9213,0.8229,0.2963,0.9959184328866423,0.8447558851688235
mnist_nn_four_hidden_halfbiprop,9500,0.9458,0.8653,0.3329,0.9975855878722706,0.9896234123279232,13000,0.9354,0.8803,0.3319,0.9981928670122713,0.983491637008963,48000,0.935,0.7882,0.3522,0.9993842691632577,0.9808041291063169,500,0.8595,0.6872,0.1485,0.9838865192348184,0.920757664197671,28500,0.9374,0.843,0.3221,0.9948011935976924,0.8742953881419802
mnist_nn_four_hidden_nobias_backprop,31000,0.9815,0.901,0.1094,0.9998381477421611,0.9999804299256337,42500,0.9791,0.9482,0.1222,0.9998996283609312,0.999991299986515,45500,0.9769,0.9168,0.1588,0.9996306975256734,0.9999706599894376,500,0.9372,0.8707,0.0236,0.9934831824954818,0.9841080696158032,500,0.9372,0.8707,0.0236,0.9934831824954818,0.9841080696158032
mnist_nn_four_hidden_nobias_biprop,37500,0.9439,0.7186,0.2626,0.9991463767814485,0.9596491198192465,4500,0.9332,0.8825,0.264,0.9971034733279374,0.9849911202206457,12500,0.9292,0.8373,0.3161,0.9990220838617379,0.9945328118188591,1000,0.9074,0.8483,0.2148,0.9817669104693824,0.9336263566113232,1000,0.9074,0.8483,0.2148,0.9817669104693824,0.9336263566113232
mnist_nn_four_hidden_nobias_halfbiprop,27000,0.9415,0.7891,0.2793,0.9997727449405845,0.9946022155327802,4500,0.9332,0.8825,0.264,0.9971034733279374,0.9849911202206457,12500,0.9292,0.8373,0.3161,0.9990220838617379,0.9945328118188591,1000,0.9074,0.8483,0.2148,0.9817669104693824,0.9336263566113232,1000,0.9074,0.8483,0.2148,0.9817669104693824,0.9336263566113232
mnist_nn_no_hidden_backprop,9500,0.9289,0.7519,0.0397,4.18582e-13,1.0,500,0.9139,0.9071,0.0466,0.046339456265422456,0.9985153057537745,0,0.1153,0.1178,0.0934,1.049176855327214,1.2946415470055248,27500,0.9233,0.6427,0.0431,0.0,1.0,500,0.9139,0.9071,0.0466,0.046339456265422456,0.9985153057537745
